,literacy,pop_age,spendeduc,gender_unequal,dem_score14,effectiveness,hdi,confidence
110,99.0,36.6,6.2,0.32,9.26,93.1442087141898,0.907,38.105962976791
111,67.5,22.0,3.1,0.674,5.32,26.004728019660202,0.565,
112,28.7,15.0,3.7,0.807,4.02,27.895980580196902,0.261,
113,68.0,18.6,,,3.76,20.094562535026697,0.423,59.3581695310624
114,100.0,38.9,6.7,0.23399999999999999,9.93,90.0709227749078,0.938,66.4538110074826
115,81.4,24.3,4.0,,3.15,62.88416070013739,,
116,49.9,21.3,2.9,0.721,4.64,34.7517730496454,0.49,51.2387215399498
117,,17.6,,,4.72,,,
118,91.9,27.3,3.8,0.634,7.08,43.2624113334268,0.755,
119,57.3,20.0,,0.784,6.03,28.1323883832206,0.431,
120,94.0,23.1,4.0,0.643,6.26,16.075651020023,0.64,
121,92.9,25.6,2.7,0.614,6.54,35.4609929359833,0.723,6.49494562037717
122,92.6,23.2,2.6,0.623,6.77,45.153664334305105,0.638,63.30524009415029
123,99.8,38.2,4.9,0.325,7.47,60.9929081396008,0.795,65.6057413539079
124,93.3,41.0,5.3,0.31,7.79,70.92198513923809,0.795,37.364881990726204
125,89.0,30.1,3.3,0.6709999999999999,3.18,62.88416070013739,0.8029999999999999,
126,97.3,38.5,4.4,0.478,6.68,38.7706852691957,0.767,26.8846826735063
127,99.4,38.1,3.9,0.442,3.39,37.115839102589504,0.7190000000000001,41.1453537841189
128,70.4,18.7,4.1,0.638,3.25,27.1867613984056,0.385,
129,78.8,24.6,5.7,0.76,1.82,45.39007090437221,0.752,
130,39.3,18.0,5.1,0.727,6.15,42.31678470088521,0.41100000000000003,
131,96.4,37.6,4.5,,6.71,,0.735,
132,35.1,18.2,3.8,0.7559999999999999,4.56,10.1654855353894,0.317,
133,92.5,40.6,2.8,0.255,6.03,99.9999997745451,0.846,
134,99.6,37.2,3.6,0.35200000000000004,7.35,56.028368935235605,0.818,25.2691692128619
135,,41.7,5.2,0.293,7.57,65.9574466394194,0.828,39.8559566801835
136,86.4,24.9,5.1,0.635,7.82,58.8652477760405,0.597,66.40086872278621
137,97.9,40.2,4.4,0.28,8.05,82.74231610850521,0.863,42.2742583043848
138,90.7,30.6,,0.599,5.69,47.2813238612163,0.6579999999999999,
139,61.1,20.3,,0.708,2.54,20.330968928957102,0.379,
140,89.6,27.6,,,6.77,42.789598193292605,0.6459999999999999,
141,81.6,19.3,7.9,0.6679999999999999,3.09,36.170212822321204,0.498,
142,99.0,40.9,6.7,0.212,9.73,90.0709227749078,0.885,56.535109736298104
143,99.0,41.9,5.3,0.228,9.09,99.9999997745451,0.8740000000000001,56.5539945286781
144,79.6,22.5,4.9,0.687,1.74,33.096926883039195,0.589,
145,96.1,,,,7.65,70.21276595744679,,49.197819817989995
146,99.5,20.7,3.5,0.568,2.37,17.4940893836055,0.58,
147,69.4,17.5,6.8,,5.77,34.515366655715,0.39799999999999996,78.85262266066042
148,92.6,33.2,4.9,0.586,5.39,53.191489389884005,0.654,
149,58.6,17.4,7.1,,7.24,,0.502,
150,60.9,19.8,3.7,0.731,3.45,18.912530565374603,0.428,
151,98.6,30.8,4.2,0.473,6.99,,0.736,
152,74.3,29.1,7.2,0.515,6.31,61.93853371532251,0.6829999999999999,
153,87.4,28.3,2.9,0.621,5.12,41.843971560751,0.679,57.0705744349319
154,98.8,24.7,,,1.83,11.820330292902401,0.669,
155,66.8,15.6,3.8,0.715,5.22,36.8794327086591,0.42200000000000004,70.74731685215079
156,99.4,39.5,5.3,0.46299999999999997,5.42,29.078013958942197,0.71,36.0226271618677
157,77.9,31.7,0.9,0.46399999999999997,2.64,,0.815,
158,,39.9,5.6,0.355,8.31,94.56264707777241,0.8490000000000001,56.4677600236592
159,99.0,36.6,5.5,0.4,8.11,86.7612304416954,0.902,61.785207806532405
160,98.0,33.7,2.8,0.508,8.17,58.6288413821101,0.765,43.41772151898729
161,99.3,24.5,,,2.45,20.5673753228875,0.617,
162,93.0,26.1,3.7,0.561,5.07,19.6217497471658,0.696,21.3750927445646
163,90.3,28.5,5.3,0.53,3.41,40.1891250418715,0.5720000000000001,99.8624105668683
164,50.2,17.8,5.2,0.853,2.79,26.004728019660202,0.439,
165,80.6,16.8,1.4,0.752,6.39,24.586288246984502,0.395,
166,90.7,19.0,4.6,0.705,2.78,27.6595741862665,0.14,60.019028708529795
